Year,League,FranchiseID,name,Division,W,L,DivWin,WCWin,LgWin,WSWin,R,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ERA,CG,SHO,SV,HA,HRA,BBA,SOA,E,DP,FP,Playoffs,Win %
1996,AL,BAL,Baltimore Orioles,E,88,74,N,Y,N,N,949,1557,299,29,257,645.0,915.0,76.0,40.0,61.0,67.0,903,5.14,13,1,44,1604,209,597,1047,97,173,0.984,1,0.543
1996,AL,BOS,Boston Red Sox,E,85,77,N,N,N,N,928,1631,308,31,209,642.0,1020.0,91.0,44.0,67.0,47.0,921,4.98,17,5,37,1606,185,722,1165,135,152,0.978,0,0.525
1996,AL,ANA,California Angels,W,70,91,N,N,N,N,762,1571,256,24,192,527.0,974.0,53.0,39.0,29.0,33.0,943,5.3,12,8,38,1546,219,662,1052,128,156,0.979,0,0.435
1996,AL,CHW,Chicago White Sox,C,85,77,N,N,N,N,898,1586,284,33,195,701.0,927.0,105.0,41.0,34.0,62.0,794,4.52,7,4,43,1529,174,616,1039,109,145,0.982,0,0.525
1996,NL,CHC,Chicago Cubs,C,76,86,N,N,N,N,772,1388,267,19,175,523.0,1090.0,108.0,50.0,61.0,48.0,771,4.36,10,10,34,1447,184,546,1027,104,147,0.983,0,0.469
1996,NL,CIN,Cincinnati Reds,C,81,81,N,N,N,N,778,1398,259,36,191,604.0,1134.0,171.0,63.0,34.0,49.0,773,4.32,6,8,52,1447,167,591,1089,121,145,0.98,0,0.5
1996,AL,CLE,Cleveland Indians,C,99,62,Y,N,N,N,952,1665,335,23,218,671.0,844.0,160.0,50.0,43.0,57.0,769,4.34,13,9,46,1530,173,484,1033,124,156,0.98,1,0.615
1996,NL,COL,Colorado Rockies,W,83,79,N,N,N,N,961,1607,297,37,221,527.0,1108.0,201.0,66.0,82.0,52.0,964,5.59,5,4,34,1597,198,624,932,149,167,0.976,0,0.512
1996,AL,DET,Detroit Tigers,E,53,109,N,N,N,N,783,1413,257,21,204,546.0,1268.0,87.0,50.0,29.0,49.0,1103,6.38,10,4,22,1699,241,784,957,137,157,0.978,0,0.327
1996,NL,FLA,Florida Marlins,E,80,82,N,N,N,N,688,1413,240,30,150,553.0,1122.0,99.0,46.0,55.0,45.0,703,3.95,8,13,41,1386,113,598,1050,111,187,0.982,0,0.494
1996,NL,HOU,Houston Astros,C,82,80,N,N,N,N,753,1445,297,29,129,554.0,1057.0,180.0,63.0,84.0,55.0,792,4.37,13,4,35,1541,154,539,1163,138,130,0.978,0,0.506
1996,AL,KCR,Kansas City Royals,C,75,86,N,N,N,N,746,1477,286,38,123,529.0,943.0,195.0,85.0,43.0,49.0,786,4.55,17,8,35,1563,176,460,926,111,184,0.982,0,0.466
1996,NL,LAD,Los Angeles Dodgers,W,90,72,N,Y,N,N,703,1396,215,33,150,516.0,1190.0,124.0,40.0,22.0,35.0,652,3.46,6,9,50,1378,125,534,1212,125,143,0.98,1,0.556
1996,AL,MIN,Minnesota Twins,C,78,84,N,N,N,N,877,1633,332,47,118,576.0,958.0,143.0,53.0,65.0,63.0,900,5.28,13,5,31,1561,233,581,959,94,142,0.984,0,0.481
